######################### Start train #########################
Tot_step: 463    	 | Episode: 20   	 | Time: 35.90 	 | Reward : 178.138 	 | actor_loss : 115.236 	 | critic_loss : 18688.909
Tot_step: 920    	 | Episode: 40   	 | Time: 22.85 	 | Reward : 114.779 	 | actor_loss : 144.798 	 | critic_loss : 8851.733
Tot_step: 1408   	 | Episode: 60   	 | Time: 24.40 	 | Reward : 120.953 	 | actor_loss : 139.203 	 | critic_loss : 5149.796
Tot_step: 1925   	 | Episode: 80   	 | Time: 25.85 	 | Reward : 130.932 	 | actor_loss : 126.540 	 | critic_loss : 3072.673
Tot_step: 2414   	 | Episode: 100  	 | Time: 24.45 	 | Reward : 122.512 	 | actor_loss : 103.694 	 | critic_loss : 1984.685
Tot_step: 2831   	 | Episode: 120  	 | Time: 20.85 	 | Reward : 105.310 	 | actor_loss : 80.687 	 | critic_loss : 1389.872
Tot_step: 3333   	 | Episode: 140  	 | Time: 25.10 	 | Reward : 127.241 	 | actor_loss : 56.924 	 | critic_loss : 913.669
Tot_step: 3841   	 | Episode: 160  	 | Time: 25.40 	 | Reward : 127.250 	 | actor_loss : 33.911 	 | critic_loss : 550.722
Tot_step: 4321   	 | Episode: 180  	 | Time: 24.00 	 | Reward : 120.226 	 | actor_loss : 15.792 	 | critic_loss : 337.960
Tot_step: 4820   	 | Episode: 200  	 | Time: 24.95 	 | Reward : 126.397 	 | actor_loss : 0.889 	 | critic_loss : 236.869
Tot_step: 5323   	 | Episode: 220  	 | Time: 25.15 	 | Reward : 125.246 	 | actor_loss : -12.140 	 | critic_loss : 157.736
Tot_step: 5769   	 | Episode: 240  	 | Time: 22.30 	 | Reward : 111.437 	 | actor_loss : -22.419 	 | critic_loss : 127.062
Tot_step: 6249   	 | Episode: 260  	 | Time: 24.00 	 | Reward : 121.678 	 | actor_loss : -30.130 	 | critic_loss : 128.148
Tot_step: 6744   	 | Episode: 280  	 | Time: 24.75 	 | Reward : 122.498 	 | actor_loss : -36.402 	 | critic_loss : 132.028
Tot_step: 7235   	 | Episode: 300  	 | Time: 24.55 	 | Reward : 123.549 	 | actor_loss : -39.946 	 | critic_loss : 142.994
Tot_step: 7735   	 | Episode: 320  	 | Time: 25.00 	 | Reward : 125.276 	 | actor_loss : -42.917 	 | critic_loss : 139.063
Tot_step: 8269   	 | Episode: 340  	 | Time: 26.70 	 | Reward : 134.464 	 | actor_loss : -45.151 	 | critic_loss : 148.087
Tot_step: 8755   	 | Episode: 360  	 | Time: 24.30 	 | Reward : 121.623 	 | actor_loss : -48.943 	 | critic_loss : 148.457
Tot_step: 9269   	 | Episode: 380  	 | Time: 25.70 	 | Reward : 127.689 	 | actor_loss : -54.166 	 | critic_loss : 154.156
Tot_step: 9771   	 | Episode: 400  	 | Time: 25.10 	 | Reward : 126.563 	 | actor_loss : -60.793 	 | critic_loss : 165.065
Tot_step: 10513  	 | Episode: 420  	 | Time: 37.10 	 | Reward : 197.302 	 | actor_loss : -68.317 	 | critic_loss : 174.043
Tot_step: 11495  	 | Episode: 440  	 | Time: 49.10 	 | Reward : 251.084 	 | actor_loss : -76.890 	 | critic_loss : 190.754
Tot_step: 12232  	 | Episode: 460  	 | Time: 36.85 	 | Reward : 190.758 	 | actor_loss : -81.434 	 | critic_loss : 187.908
Tot_step: 13763  	 | Episode: 480  	 | Time: 76.55 	 | Reward : 387.059 	 | actor_loss : -85.050 	 | critic_loss : 179.306
Tot_step: 15264  	 | Episode: 500  	 | Time: 75.05 	 | Reward : 395.118 	 | actor_loss : -85.813 	 | critic_loss : 151.117
Tot_step: 16771  	 | Episode: 520  	 | Time: 75.35 	 | Reward : 376.319 	 | actor_loss : -85.409 	 | critic_loss : 123.528
Tot_step: 18157  	 | Episode: 540  	 | Time: 69.30 	 | Reward : 364.177 	 | actor_loss : -84.941 	 | critic_loss : 102.580
Tot_step: 19606  	 | Episode: 560  	 | Time: 72.45 	 | Reward : 379.651 	 | actor_loss : -85.684 	 | critic_loss : 91.253
Tot_step: 21056  	 | Episode: 580  	 | Time: 72.50 	 | Reward : 374.500 	 | actor_loss : -87.113 	 | critic_loss : 79.514
Tot_step: 22534  	 | Episode: 600  	 | Time: 73.90 	 | Reward : 380.717 	 | actor_loss : -89.002 	 | critic_loss : 76.510
Tot_step: 24194  	 | Episode: 620  	 | Time: 83.00 	 | Reward : 439.271 	 | actor_loss : -91.099 	 | critic_loss : 73.682
Tot_step: 25710  	 | Episode: 640  	 | Time: 75.80 	 | Reward : 373.004 	 | actor_loss : -92.850 	 | critic_loss : 72.913
Tot_step: 27111  	 | Episode: 660  	 | Time: 70.05 	 | Reward : 379.462 	 | actor_loss : -93.870 	 | critic_loss : 69.171
Tot_step: 28517  	 | Episode: 680  	 | Time: 70.30 	 | Reward : 375.133 	 | actor_loss : -94.796 	 | critic_loss : 69.282
Tot_step: 29979  	 | Episode: 700  	 | Time: 73.10 	 | Reward : 387.750 	 | actor_loss : -95.553 	 | critic_loss : 70.298
Tot_step: 31514  	 | Episode: 720  	 | Time: 76.75 	 | Reward : 396.433 	 | actor_loss : -96.379 	 | critic_loss : 67.743
######################### Start train #########################
Tot_step: 468    	 | Episode: 20   	 | Time: 36.15 	 | Reward : 178.664 	 | actor_loss : 148.845 	 | critic_loss : 20813.981
Tot_step: 1028   	 | Episode: 40   	 | Time: 28.00 	 | Reward : 140.299 	 | actor_loss : 181.683 	 | critic_loss : 10733.473
Tot_step: 1519   	 | Episode: 60   	 | Time: 24.55 	 | Reward : 122.707 	 | actor_loss : 170.373 	 | critic_loss : 5771.034
Tot_step: 1985   	 | Episode: 80   	 | Time: 23.30 	 | Reward : 116.725 	 | actor_loss : 146.305 	 | critic_loss : 3729.016
Tot_step: 2473   	 | Episode: 100  	 | Time: 24.40 	 | Reward : 121.431 	 | actor_loss : 122.186 	 | critic_loss : 2817.111
Tot_step: 2932   	 | Episode: 120  	 | Time: 22.95 	 | Reward : 114.370 	 | actor_loss : 97.475 	 | critic_loss : 2167.558
Tot_step: 3430   	 | Episode: 140  	 | Time: 24.90 	 | Reward : 124.727 	 | actor_loss : 72.722 	 | critic_loss : 1675.051
Tot_step: 3887   	 | Episode: 160  	 | Time: 22.85 	 | Reward : 114.652 	 | actor_loss : 46.869 	 | critic_loss : 1019.178
Tot_step: 4317   	 | Episode: 180  	 | Time: 21.50 	 | Reward : 108.691 	 | actor_loss : 24.398 	 | critic_loss : 631.356
Tot_step: 4752   	 | Episode: 200  	 | Time: 21.75 	 | Reward : 108.581 	 | actor_loss : 7.095 	 | critic_loss : 482.326
Tot_step: 5240   	 | Episode: 220  	 | Time: 24.40 	 | Reward : 122.790 	 | actor_loss : -8.825 	 | critic_loss : 271.280
Tot_step: 5737   	 | Episode: 240  	 | Time: 24.85 	 | Reward : 123.824 	 | actor_loss : -21.588 	 | critic_loss : 204.433
